data_inicio,nome,id_chamado
02/03,Marechal Hermes,27
02/03,Maria da Graça,11
02/03,Maré,4
02/03,Moneró,1
02/03,Méier,47
02/03,Olaria,32
02/03,Osvaldo Cruz,20
02/03,Paciência,22
02/03,Padre Miguel,22
02/03,Paquetá,2
02/03,Parada de Lucas,6
02/03,Parque Anchieta,12
02/03,Pavuna,38
02/03,Pechincha,27
02/03,Pedra de Guaratiba,7
02/03,Penha,33
02/03,Penha Circular,39
02/03,Piedade,29
02/03,Pilares,8
02/03,Pitangueiras,7
02/03,Portuguesa,10
02/03,Praia da Bandeira,4
02/03,Praça Seca,32
02/03,Praça da Bandeira,14
02/03,Quintino Bocaiúva,10
02/03,Ramos,44
02/03,Realengo,95
02/03,Recreio dos Bandeirantes,78
02/03,Riachuelo,11
02/03,Ribeira,3
02/03,Ricardo de Albuquerque,15
02/03,Rio Comprido,11
02/03,Rocha,7
02/03,Rocha Miranda,16
02/03,Sampaio,2
02/03,Santa Cruz,59
02/03,Santa Teresa,28
02/03,Santo Cristo,12
02/03,Santíssimo,19
02/03,Saúde,3
02/03,Senador Camará,19
02/03,Senador Vasconcelos,26
02/03,Sepetiba,35
02/03,São Conrado,7
02/03,São Cristóvão,25
02/03,São Francisco Xavier,10
02/03,Tanque,10
02/03,Taquara,60
02/03,Tauá,16
02/03,Tijuca,127
02/03,Todos os Santos,19
02/03,Tomás Coelho,11
02/03,Turiaçú,10
02/03,Urca,9
02/03,Vargem Grande,9
02/03,Vargem Pequena,12
02/03,Vasco da Gama,6
02/03,Vaz Lobo,10
02/03,Vicente de Carvalho,14
02/03,Vidigal,3
02/03,Vigário Geral,11
02/03,Vila Isabel,69
02/03,Vila Kennedy,8
02/03,Vila Kosmos,5
02/03,Vila Militar,4
02/03,Vila Valqueire,44
02/03,Vila da Penha,34
02/03,Vista Alegre,12
02/03,Zumbi,2
02/03,Água Santa,1
02/04,Abolição,3
02/04,Acari,1
02/04,Alto da Boa Vista,1
02/04,Anchieta,1
02/04,Andaraí,5
02/04,Anil,10
02/04,Bancários,2
02/04,Bangu,35
02/04,Barra da Tijuca,57
02/04,Benfica,2
02/04,Bento Ribeiro,11
02/04,Bonsucesso,15
02/04,Botafogo,28
02/04,Brás de Pina,3
02/04,Cachambi,8
02/04,Cacuia,1
02/04,Caju,4
02/04,Camorim,1
02/04,Campinho,1
02/04,Campo Grande,100
02/04,Cascadura,4
02/04,Catete,3
02/04,Catumbi,1
02/04,Cavalcanti,4
02/04,Centro,42
02/04,Cidade de Deus,1
02/04,Cocotá,3
02/04,Coelho Neto,8
02/04,Colégio,1
02/04,Complexo do Alemão,1
02/04,Copacabana,42
02/04,Cordovil,5
02/04,Cosme Velho,2
02/04,Cosmos,5
02/04,Costa Barros,1
02/04,Curicica,5
02/04,Del Castilho,2
02/04,Encantado,4
02/04,Engenheiro Leal,2
02/04,Engenho Novo,14
02/04,Engenho da Rainha,2
02/04,Engenho de Dentro,36
02/04,Flamengo,11
02/04,Freguesia (Ilha),7
02/04,Freguesia (Jacarepaguá),18
02/04,Galeão,4
02/04,Gamboa,4
02/04,Gardênia Azul,2
02/04,Glória,11
02/04,Grajaú,22
02/04,Guadalupe,5
02/04,Guaratiba,26
02/04,Gávea,8
02/04,Higienópolis,5
02/04,Honório Gurgel,2
02/04,Humaitá,3
02/04,Ilha de Guaratiba,1
02/04,Inhaúma,3
02/04,Inhoaíba,13
02/04,Ipanema,14
02/04,Irajá,13
02/04,Itanhangá,5
02/04,Jacarepaguá,11
02/04,Jacaré,2
02/04,Jardim América,5
02/04,Jardim Botânico,2
02/04,Jardim Carioca,1
02/04,Jardim Guanabara,7
02/04,Jardim Sulacap,2
02/04,Lagoa,5
02/04,Laranjeiras,4
02/04,Leblon,19
02/04,Lins de Vasconcelos,7
02/04,Madureira,12
02/04,Magalhães Bastos,7
02/04,Maracanã,8
02/04,Marechal Hermes,17
02/04,Maria da Graça,1
02/04,Méier,13
02/04,Olaria,11
02/04,Osvaldo Cruz,6
02/04,Paciência,7
02/04,Padre Miguel,8
02/04,Parada de Lucas,3
02/04,Pavuna,4
02/04,Pechincha,10
02/04,Pedra de Guaratiba,1
02/04,Penha,7
02/04,Penha Circular,11
02/04,Piedade,14
02/04,Pilares,11
02/04,Pitangueiras,2
02/04,Portuguesa,2
02/04,Praia da Bandeira,1
02/04,Praça Seca,9
02/04,Praça da Bandeira,3
02/04,Quintino Bocaiúva,4
02/04,Ramos,2
02/04,Realengo,17
02/04,Recreio dos Bandeirantes,17
02/04,Riachuelo,2
02/04,Ribeira,4
02/04,Ricardo de Albuquerque,2
02/04,Rio Comprido,5
02/04,Rocha,2
02/04,Rocha Miranda,1
02/04,Rocinha,2
02/04,Sampaio,1
02/04,Santa Cruz,27
02/04,Santa Teresa,13
02/04,Santíssimo,2
02/04,Saúde,2
02/04,Senador Camará,7
02/04,Senador Vasconcelos,9
02/04,Sepetiba,11
02/04,São Conrado,3
02/04,São Cristóvão,8
02/04,Tanque,4
02/04,Taquara,31
02/04,Tauá,3
02/04,Tijuca,52
02/04,Todos os Santos,11
02/04,Vargem Grande,9
02/04,Vargem Pequena,3
02/04,Vaz Lobo,1
02/04,Vicente de Carvalho,1
02/04,Vigário Geral,3
02/04,Vila Isabel,18
02/04,Vila Kosmos,5
02/04,Vila Militar,2
02/04,Vila Valqueire,14
02/04,Vila da Penha,11
02/04,Vista Alegre,10
03/01,Abolição,4
03/01,Acari,2
03/01,Alto da Boa Vista,2
03/01,Anchieta,25
03/01,Andaraí,19
03/01,Anil,16
03/01,Bancários,3
03/01,Bangu,57
03/01,Barra da Tijuca,75
03/01,Barra de Guaratiba,2
03/01,Benfica,3
03/01,Bento Ribeiro,45
03/01,Bonsucesso,24
03/01,Botafogo,45
03/01,Brás de Pina,14
03/01,Cachambi,22
03/01,Caju,13
03/01,Campinho,11
03/01,Campo Grande,175
03/01,Campo dos Afonsos,1
03/01,Cascadura,10
03/01,Catete,12
03/01,Catumbi,8
03/01,Centro,65
03/01,Cidade Nova,7
03/01,Cidade Universitária,1
03/01,Cidade de Deus,5
03/01,Cocotá,6
03/01,Coelho Neto,14
03/01,Colégio,12
03/01,Complexo do Alemão,2
03/01,Copacabana,81
03/01,Cordovil,14
03/01,Cosme Velho,5
03/01,Cosmos,35
03/01,Costa Barros,3
03/01,Curicica,25
03/01,Del Castilho,12
03/01,Deodoro,6
03/01,Encantado,9
03/01,Engenheiro Leal,8
03/01,Engenho Novo,21
03/01,Engenho da Rainha,3
03/01,Engenho de Dentro,22
03/01,Estácio,3
03/01,Flamengo,19
03/01,Freguesia (Ilha),6
03/01,Freguesia (Jacarepaguá),25
03/01,Galeão,7
03/01,Gamboa,3
03/01,Gardênia Azul,2
03/01,Gericinó,1
03/01,Glória,7
03/01,Grajaú,32
03/01,Guadalupe,10
03/01,Guaratiba,59
03/01,Gávea,3
03/01,Higienópolis,13
03/01,Honório Gurgel,8
03/01,Humaitá,9
03/01,Ilha de Guaratiba,4
03/01,Inhaúma,10
03/01,Inhoaíba,14
03/01,Ipanema,42
03/01,Irajá,42
03/01,Itanhangá,7
03/01,Jacarepaguá,25
03/01,Jacarezinho,1
03/01,Jacaré,5
03/01,Jardim América,8
03/01,Jardim Botânico,15
03/01,Jardim Carioca,9
03/01,Jardim Guanabara,10
03/01,Jardim Sulacap,17
03/01,Joá,18
03/01,Lagoa,8
03/01,Lapa,4
03/01,Laranjeiras,13
03/01,Leblon,27
03/01,Leme,12
03/01,Lins de Vasconcelos,8
03/01,Madureira,30
03/01,Magalhães Bastos,7
03/01,Mangueira,2
03/01,Manguinhos,4
03/01,Maracanã,19
03/01,Marechal Hermes,31
03/01,Maria da Graça,11
03/01,Maré,14
03/01,Moneró,2
03/01,Méier,46
03/01,Olaria,24
03/01,Osvaldo Cruz,20
03/01,Paciência,36
03/01,Padre Miguel,22
03/01,Parada de Lucas,2
03/01,Parque Anchieta,16
03/01,Parque Colúmbia,5
03/01,Pavuna,23
03/01,Pechincha,18
03/01,Pedra de Guaratiba,7
03/01,Penha,22
03/01,Penha Circular,17
03/01,Piedade,33
03/01,Pilares,17
03/01,Pitangueiras,3
03/01,Portuguesa,10
03/01,Praia da Bandeira,2
